pair,feature_idx,skld,feature_name
ab,405,0.9344799297959031,rH155 nuc 16
ab,404,0.8909164794318287,rH155 nuc 12
ab,452,0.876414631375521,146num_nuc_inner_20px
ab,458,0.876414631375521,155num_nuc_inner_20px
ab,457,0.7851203671552536,155num_nuc_inner_10px
ab,451,0.7851203671552536,146num_nuc_inner_10px
ab,424,0.7074651995495824,rH146cross nuc diff max
ab,440,0.6885721539258076,146num_20px
ab,385,0.6643740571874216,146_inside
ab,439,0.6449876115176598,146num_10px
bc,424,0.8788614800728476,rH146cross nuc diff max
bc,436,0.8421877720560658,rH155cross nuc diff max
bc,414,0.5303960229365359,rH146cross nuc 4
bc,426,0.5084817914717733,rH155cross nuc 4
bc,427,0.3413982289212247,rH155cross nuc 8
bc,425,0.3384814210803403,rH146cross cyto diff max
bc,437,0.3058147829098581,rH155cross cyto diff max
bc,415,0.300882941392777,rH146cross nuc 8
bc,416,0.28124130939152464,rH146cross nuc 12
bc,428,0.27802704255672517,rH155cross nuc 12
ac,451,1.2099946014004352,146num_nuc_inner_10px
ac,457,1.2099946014004352,155num_nuc_inner_10px
ac,452,1.2079381595342356,146num_nuc_inner_20px
ac,458,1.2079381595342356,155num_nuc_inner_20px
ac,440,1.1989106943265437,146num_20px
ac,450,1.0442184998514996,146num_nuc_inner_5px
ac,456,1.0442184998514996,155num_nuc_inner_5px
ac,439,1.0120943563715277,146num_10px
ac,438,0.9695638775462645,146num_5px
ac,385,0.9048578742247502,146_inside
